region,series,year,value
East Asia & Pacific,primary,2000,110.224029541016
East Asia & Pacific,primary,2001,110.92357635498
East Asia & Pacific,primary,2002,109.465171813965
East Asia & Pacific,primary,2003,108.066650390625
East Asia & Pacific,primary,2004,106.849769592285
East Asia & Pacific,primary,2005,105.281303405762
East Asia & Pacific,primary,2006,104.555038452148
East Asia & Pacific,primary,2007,105.071189880371
East Asia & Pacific,primary,2008,105.375160217285
East Asia & Pacific,primary,2009,105.32967376709
East Asia & Pacific,primary,2010,104.872680664062
East Asia & Pacific,primary,2011,105.003997802734
East Asia & Pacific,primary,2012,105.154861450195
East Asia & Pacific,primary,2013,104.620399475098
East Asia & Pacific,primary,2014,101.81568145752
East Asia & Pacific,primary,2015,101.045478820801
East Asia & Pacific,primary,2016,100.860946655273
East Asia & Pacific,primary,2017,100.652389526367
East Asia & Pacific,primary,2018,100.173690795898
East Asia & Pacific,primary,2019,99.8616180419922
East Asia & Pacific,primary,2020,100.061592102051
East Asia & Pacific,primary_female,2000,110.308181762695
East Asia & Pacific,primary_female,2001,111.222671508789
East Asia & Pacific,primary_female,2002,109.70955657959
East Asia & Pacific,primary_female,2003,108.323722839355
East Asia & Pacific,primary_female,2004,107.229118347168
East Asia & Pacific,primary_female,2005,105.498176574707
East Asia & Pacific,primary_female,2006,104.717170715332
East Asia & Pacific,primary_female,2007,105.105827331543
East Asia & Pacific,primary_female,2008,105.452972412109
East Asia & Pacific,primary_female,2009,105.258842468262
East Asia & Pacific,primary_female,2010,105.148918151855
East Asia & Pacific,primary_female,2011,105.276351928711
East Asia & Pacific,primary_female,2012,105.2080078125
East Asia & Pacific,primary_female,2013,104.752647399902
East Asia & Pacific,primary_female,2014,101.899658203125
East Asia & Pacific,primary_female,2015,100.989723205566
East Asia & Pacific,primary_female,2016,100.871597290039
East Asia & Pacific,primary_female,2017,100.631492614746
East Asia & Pacific,primary_female,2018,100.128768920898
East Asia & Pacific,primary_female,2019,99.8039627075195
East Asia & Pacific,primary_female,2020,99.9909210205078
East Asia & Pacific,primary_male,2000,110.146797180176
East Asia & Pacific,primary_male,2001,110.649879455566
East Asia & Pacific,primary_male,2002,109.242149353027
East Asia & Pacific,primary_male,2003,107.832626342773
East Asia & Pacific,primary_male,2004,106.506790161133
East Asia & Pacific,primary_male,2005,105.085670471191
East Asia & Pacific,primary_male,2006,104.409080505371
East Asia & Pacific,primary_male,2007,105.040061950684
East Asia & Pacific,primary_male,2008,105.305358886719
East Asia & Pacific,primary_male,2009,105.39315032959
East Asia & Pacific,primary_male,2010,104.625343322754
East Asia & Pacific,primary_male,2011,104.760368347168
East Asia & Pacific,primary_male,2012,105.107368469238
East Asia & Pacific,primary_male,2013,104.502311706543
East Asia & Pacific,primary_male,2014,101.740730285645
East Asia & Pacific,primary_male,2015,101.095222473145
East Asia & Pacific,primary_male,2016,100.851448059082
East Asia & Pacific,primary_male,2017,100.671051025391
East Asia & Pacific,primary_male,2018,100.213882446289
East Asia & Pacific,primary_male,2019,99.9132995605469
East Asia & Pacific,primary_male,2020,100.125030517578
East Asia & Pacific,secondary,2000,62.1436996459961
East Asia & Pacific,secondary,2001,63.9107894897461
East Asia & Pacific,secondary,2002,64.6817474365234
East Asia & Pacific,secondary,2003,65.9770584106445
East Asia & Pacific,secondary,2004,68.4119262695312
East Asia & Pacific,secondary,2005,70.3503723144531
East Asia & Pacific,secondary,2006,73.1226196289062
East Asia & Pacific,secondary,2007,76.6228790283203
East Asia & Pacific,secondary,2008,79.1833419799805
East Asia & Pacific,secondary,2009,83.070068359375
East Asia & Pacific,secondary,2010,84.7297592163086
East Asia & Pacific,secondary,2011,86.061653137207
East Asia & Pacific,secondary,2012,86.5859222412109
East Asia & Pacific,secondary,2013,87.486198425293
East Asia & Pacific,secondary,2014,86.9173736572266
East Asia & Pacific,secondary,2015,87.1539535522461
East Asia & Pacific,secondary,2016,86.5248031616211
East Asia & Pacific,secondary,2017,86.7522583007812
East Asia & Pacific,secondary,2018,87.2916488647461
East Asia & Pacific,secondary,2019,88.9832077026367
East Asia & Pacific,secondary,2020,89.899040222168
East Asia & Pacific,secondary_female,2000,60.9457092285156
East Asia & Pacific,secondary_female,2001,62.8622512817383
East Asia & Pacific,secondary_female,2002,63.8230400085449
East Asia & Pacific,secondary_female,2003,65.3064880371094
East Asia & Pacific,secondary_female,2004,68.1626815795898
East Asia & Pacific,secondary_female,2005,70.5025024414062
East Asia & Pacific,secondary_female,2006,73.6256332397461
East Asia & Pacific,secondary_female,2007,77.3227996826172
East Asia & Pacific,secondary_female,2008,80.100212097168
East Asia & Pacific,secondary_female,2009,84.3223571777344
East Asia & Pacific,secondary_female,2010,85.2631530761719
East Asia & Pacific,secondary_female,2011,86.7125930786133
East Asia & Pacific,secondary_female,2012,87.5260620117188
East Asia & Pacific,secondary_female,2013,88.3574523925781
East Asia & Pacific,secondary_female,2014,88.063102722168
East Asia & Pacific,secondary_female,2015,88.283332824707
East Asia & Pacific,secondary_female,2016,87.7668609619141
East Asia & Pacific,secondary_female,2017,87.9111175537109
East Asia & Pacific,secondary_female,2018,88.4812393188477
East Asia & Pacific,secondary_female,2019,90.0556335449219
East Asia & Pacific,secondary_female,2020,90.8184967041016
East Asia & Pacific,secondary_male,2000,63.2668914794922
East Asia & Pacific,secondary_male,2001,64.8903121948242
East Asia & Pacific,secondary_male,2002,65.4806671142578
East Asia & Pacific,secondary_male,2003,66.5983200073242
East Asia & Pacific,secondary_male,2004,68.6420135498047
East Asia & Pacific,secondary_male,2005,70.2104263305664
East Asia & Pacific,secondary_male,2006,72.6614990234375
East Asia & Pacific,secondary_male,2007,75.9831390380859
East Asia & Pacific,secondary_male,2008,78.3479080200195
East Asia & Pacific,secondary_male,2009,81.9322509765625
East Asia & Pacific,secondary_male,2010,84.2464370727539
East Asia & Pacific,secondary_male,2011,85.472900390625
East Asia & Pacific,secondary_male,2012,85.7374725341797
East Asia & Pacific,secondary_male,2013,86.7014999389648
East Asia & Pacific,secondary_male,2014,85.8870620727539
East Asia & Pacific,secondary_male,2015,86.1397933959961
East Asia & Pacific,secondary_male,2016,85.4104537963867
East Asia & Pacific,secondary_male,2017,85.7120208740234
East Asia & Pacific,secondary_male,2018,86.2228088378906
East Asia & Pacific,secondary_male,2019,88.0189514160156
East Asia & Pacific,secondary_male,2020,89.0723266601562
East Asia & Pacific,tertiary,2000,16.5568504333496
East Asia & Pacific,tertiary,2001,17.4698600769043
East Asia & Pacific,tertiary,2002,19.0702209472656
East Asia & Pacific,tertiary,2003,20.7942905426025
East Asia & Pacific,tertiary,2004,22.3188800811768
East Asia & Pacific,tertiary,2005,23.4988803863525
East Asia & Pacific,tertiary,2006,24.681209564209
East Asia & Pacific,tertiary,2007,25.5336608886719
East Asia & Pacific,tertiary,2008,26.1920108795166
